%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.relative_altitude
1631534967448078667,397504,1631534967218910904,,67.796257019,21.0725784302,402.209991455,22.5890007019
1631534967453822877,397505,1631534967345365668,,67.796257019,21.0725784302,402.470001221,22.8470001221
1631534967476562917,397506,1631534967473141614,,67.796257019,21.0725784302,402.720001221,23.0990009308
1631534967602056724,397507,1631534967596021475,,67.796257019,21.0725784302,402.950012207,23.329000473
1631534967722284016,397508,1631534967718741944,,67.796257019,21.0725784302,403.160003662,23.5300006866
1631534967853934800,397509,1631534967846131363,,67.796257019,21.0725784302,403.320007324,23.6970005035
1631534967981671801,397510,1631534967968516345,,67.796257019,21.0725784302,403.459991455,23.8339996338
1631534968103837488,397511,1631534968098602941,,67.796257019,21.0725784302,403.570007324,23.9440002441
1631534968222671279,397512,1631534968218840568,,67.796257019,21.0725784302,403.649993896,24.0230007172
1631534968348842204,397513,1631534968345172421,,67.796257019,21.0725784302,403.709991455,24.0799999237
1631534968475681192,397514,1631534968473620781,,67.796257019,21.0725784302,403.739990234,24.1180000305
1631534968603436145,397515,1631534968596115587,,67.796257019,21.0725784302,403.769989014,24.1450004578
1631534968722491312,397516,1631534968718931256,,67.796257019,21.0725784302,403.790008545,24.1620006561
1631534968848728925,397517,1631534968845317157,,67.796257019,21.0725784302,403.799987793,24.1770000458
1631534968970748308,397518,1631534968968363290,,67.796257019,21.0725784302,403.820007324,24.1909999847
1631534969103980944,397519,1631534969099772122,,67.796257019,21.0725784302,403.839996338,24.2099990845
1631534969222998351,397520,1631534969218755801,,67.796257019,21.0725784302,403.859985352,24.232000351
1631534969354222288,397521,1631534969345418373,,67.796257019,21.0725784302,403.890014648,24.2609996796
1631534969481678682,397522,1631534969477067461,,67.796257019,21.0725784302,403.920013428,24.2919998169
1631534969603130066,397523,1631534969600455449,,67.796257019,21.0725784302,403.950012207,24.3229999542
1631534969721490291,397524,1631534969718786201,,67.796257019,21.0725784302,403.980010986,24.3509998322
1631534969854959566,397525,1631534969850251610,,67.796257019,21.0725784302,404.010009766,24.3799991608
1631534969972312497,397526,1631534969968281979,,67.796257019,21.0725784302,404.029998779,24.4029998779
1631534970102581236,397527,1631534970099087485,,67.796257019,21.0725784302,404.049987793,24.4200000763
1631534970221880690,397528,1631534970218921721,,67.796257019,21.0725784302,404.059997559,24.4349994659
1631534970355082222,397529,1631534970351050936,,67.796257019,21.0725784302,404.079986572,24.4500007629
1631534970478177411,397530,1631534970473443598,,67.796257019,21.0725784302,404.079986572,24.4570007324
1631534970605695085,397531,1631534970602991699,,67.796257019,21.0725784302,404.089996338,24.4629993439
1631534970721972178,397532,1631534970718858426,,67.796257019,21.0725784302,404.089996338,24.4650001526
1631534970848065728,397533,1631534970845521734,,67.796257019,21.0725784302,404.089996338,24.4619998932
1631534970970384246,397534,1631534970968278427,,67.796257019,21.0725784302,404.079986572,24.454000473
1631534971099068061,397535,1631534971096263364,,67.796257019,21.0725784302,404.070007324,24.4440002441
1631534971222928752,397536,1631534971219420185,,67.796257019,21.0725784302,404.059997559,24.436000824
1631534971355366798,397537,1631534971346870595,,67.796257019,21.0725784302,404.059997559,24.4319992065
1631534971485691633,397538,1631534971472870033,,67.796257019,21.0725784302,404.059997559,24.4330005646
1631534971603131476,397539,1631534971600545882,,67.796257019,21.0725784302,404.070007324,24.4400005341
1631534971721592500,397540,1631534971718654715,,67.796257019,21.0725784302,404.079986572,24.4549999237
1631534971848861823,397541,1631534971845378887,,67.796257019,21.0725784302,404.100006104,24.4740009308
1631534971976563464,397542,1631534971968428924,,67.796257019,21.0725784302,404.119995117,24.4930000305
1631534972104623953,397543,1631534972095822086,,67.796257019,21.0725784302,404.130004883,24.5090007782
