rosbagTimestamp_in_nanoseconds,header,seq,stamp,secs,nsecs,frame_id,latitude,longitude,altitude,relative_altitude
1639659272893621554,,3473,,1639659272,892972943,'',55.4716415405,10.3260221481,28.8999996185,0.0419999994338
1639659272932717848,,3474,,1639659272,930337294,'',55.4716415405,10.3260221481,28.8999996185,0.0439999997616
1639659272971220539,,3475,,1639659272,970457880,'',55.4716415405,10.3260221481,28.8999996185,0.0460000000894
1639659273011006724,,3476,,1639659273,10175361,'',55.4716415405,10.3260221481,28.8999996185,0.0489999987185
1639659273051391376,,3477,,1639659273,50370604,'',55.4716415405,10.3260221481,28.9099998474,0.0509999990463
1639659273093393058,,3478,,1639659273,92771296,'',55.4716415405,10.3260221481,28.9099998474,0.0540000014007
1639659273132638153,,3479,,1639659273,130427328,'',55.4716415405,10.3260221481,28.9099998474,0.0560000017285
1639659273171232429,,3480,,1639659273,170430410,'',55.4716415405,10.3260221481,28.9099998474,0.0590000003576
1639659273209929361,,3481,,1639659273,209265807,'',55.4716415405,10.3260221481,28.9200000763,0.0619999989867
1639659273251026208,,3482,,1639659273,250383837,'',55.4716415405,10.3260221481,28.9200000763,0.0640000030398
1639659273293985302,,3483,,1639659273,292743473,'',55.4716415405,10.3260221481,28.9200000763,0.0670000016689
1639659273331449718,,3484,,1639659273,330370705,'',55.4716415405,10.3260221481,28.9300003052,0.070000000298
1639659273371507520,,3485,,1639659273,370141242,'',55.4716415405,10.3260221481,28.9300003052,0.0719999969006
1639659273411641290,,3486,,1639659273,410345221,'',55.4716415405,10.3260221481,28.9300003052,0.0750000029802
1639659273451758613,,3487,,1639659273,450190542,'',55.4716415405,10.3260221481,28.9300003052,0.0769999995828
1639659273493057508,,3488,,1639659273,491791807,'',55.4716415405,10.3260221481,28.9400005341,0.0799999982119
1639659273531006245,,3489,,1639659273,530204706,'',55.4716415405,10.3260221481,28.9400005341,0.082999996841
1639659273570126732,,3490,,1639659273,569443369,'',55.4716415405,10.3260221481,28.9400005341,0.0860000029206
1639659273611200762,,3491,,1639659273,610400183,'',55.4716415405,10.3260221481,28.9400005341,0.0890000015497
1639659273650992803,,3492,,1639659273,650345696,'',55.4716415405,10.3260221481,28.9500007629,0.0920000001788
1639659273693570584,,3493,,1639659273,692837685,'',55.4716415405,10.3260221481,28.9500007629,0.0949999988079
1639659273733487874,,3494,,1639659273,730427893,'',55.4716415405,10.3260221481,28.9500007629,0.097999997437
1639659273771106849,,3495,,1639659273,770319582,'',55.4716415405,10.3260221481,28.9599990845,0.101999998093
1639659273810952683,,3496,,1639659273,810175591,'',55.4716415405,10.3260221481,28.9599990845,0.105999998748
1639659273850605843,,3497,,1639659273,849313934,'',55.4716415405,10.3260221481,28.9599990845,0.108999997377
1639659273893934859,,3498,,1639659273,892860135,'',55.4716415405,10.3260221481,28.9699993134,0.112999998033
